edge degrees:
id	degree	max	normal
778	4	8	1
779	6	16	0.75
780	4	8	1
781	4	14	0.57
782	4	131	0.06
783	4	14	0.57
784	4	131	0.06
785	6	133	0.09
786	8	20	0.8
787	8	21	0.76
788	47	107	0.88
789	3	16	0.38
790	9	69	0.26
791	4	64	0.12
792	7	16	0.88
793	9	37	0.49
794	8	126	0.13
795	18	46	0.78
796	5	11	0.91
797	7	15	0.93
798	52	655	0.16
799	4	10	0.8
800	5	13	0.77
801	6	12	1
802	8	16	1
803	4	12	0.67
804	5	13	0.77
805	5	14	0.71
806	6	389	0.03
807	6	15	0.8
808	8	17	0.94
809	7	16	0.88
810	5	13	0.77
811	5	12	0.83
812	7	14	1
813	5	12	0.83
814	12	615	0.04
815	2	4	1
816	7	172	0.08
817	2	4	1
818	2	167	0.02
819	7	23	0.61
820	5	31	0.32
821	7	134	0.1
822	11	138	0.16
823	2	605	0.01
824	2	11	0.36
825	2	167	0.02
826	5	170	0.06
827	3	16	0.38
828	4	19	0.42
829	7	22	0.64
830	12	180	0.13
831	10	178	0.11
832	4	9	0.89
833	15	93	0.32
834	38	421	0.18
835	18	136	0.26
836	4	82	0.1
837	4	607	0.01
838	4	122	0.07
839	8	17	0.94
840	4	8	1
841	9	612	0.03
842	3	7	0.86
843	7	172	0.08
844	4	8	1
845	4	169	0.05
846	26	53	0.98
847	4	20	0.4
848	31	634	0.1
849	8	30	0.53
850	5	21	0.48
851	23	626	0.07
852	4	26	0.31
853	4	184	0.04
854	3	10	0.6
855	4	14	0.57
856	5	388	0.03
857	5	12	0.83
858	10	20	1
859	94	477	0.39
860	3	13	0.46
861	7	390	0.04
862	7	390	0.04
863	7	19	0.74
864	10	22	0.91
865	4	16	0.5
866	7	19	0.74
867	12	24	1
868	12	24	1
869	5	17	0.59
870	3	8	0.75
871	2	5	0.8
872	3	8	0.75
873	2	5	0.8
874	4	9	0.89
875	2	7	0.57
876	8	22	0.73
877	8	21	0.76
878	6	19	0.63
879	12	615	0.04
880	8	173	0.09
881	12	615	0.04
882	8	173	0.09
883	11	614	0.04
884	5	170	0.06
885	2	4	1
886	2	4	1
887	2	4	1
888	6	28	0.43
889	6	609	0.02
890	5	34	0.29
891	5	388	0.03
892	19	622	0.06
893	10	39	0.51
894	2	16	0.25
895	2	605	0.01
896	2	167	0.02
897	14	617	0.05
898	9	174	0.1
899	4	11	0.73
900	1	2	1
901	1	2	1
902	5	10	1
903	8	17	0.94
904	5	170	0.06
905	5	608	0.02
906	5	14	0.71
907	5	121	0.08
908	5	388	0.03
909	8	17	0.94
910	9	18	1
911	9	125	0.14
912	9	392	0.05
913	0	17	0
914	6	13	0.92
915	11	26	0.85
916	5	20	0.5
917	6	609	0.02
918	6	171	0.07
919	15	618	0.05
920	9	174	0.1
921	14	28	1
922	73	211	0.69
923	25	77	0.65
924	12	150	0.16
925	14	179	0.16
926	10	62	0.32
927	13	91	0.29
928	14	617	0.05
929	11	127	0.17
930	14	397	0.07
931	12	154	0.16
932	73	238	0.61
933	25	77	0.65
934	73	215	0.68
935	7	34	0.41
936	5	22	0.45
937	9	26	0.69
938	7	15	0.93
939	5	13	0.77
940	1	7	0.29
941	5	388	0.03
942	5	11	0.91
943	5	170	0.06
944	5	14	0.71
945	2	605	0.01
946	2	167	0.02
947	2	9	0.44
948	7	14	1
949	4	11	0.73
950	10	21	0.95
951	9	18	1
952	10	21	0.95
953	9	18	1
954	11	614	0.04
955	9	177	0.1
956	7	16	0.88
957	9	18	1
958	9	18	1
959	5	11	0.91
960	12	34	0.71
961	5	170	0.06
962	5	608	0.02
963	12	34	0.71
964	0	6	0
965	5	608	0.02
966	2	167	0.02
967	2	4	1
968	2	4	1
969	2	4	1
970	0	15	0
971	4	56	0.14
972	5	14	0.71
973	4	120	0.07
974	7	16	0.88
975	7	123	0.11
976	5	23	0.43
977	6	21	0.57
978	4	23	0.35
979	7	22	0.64
980	8	27	0.59
981	6	25	0.48
982	12	395	0.06
983	6	16	0.75
984	11	27	0.81
985	4	14	0.57
986	0	9	0
987	12	615	0.04
988	2	4	1
989	6	171	0.07
990	2	4	1
991	2	167	0.02
992	11	22	1
993	11	22	1
994	11	22	1
995	11	22	1
996	10	21	0.95
997	10	21	0.95
998	11	22	1
999	11	22	1
1000	11	614	0.04
1001	11	394	0.06
1002	11	39	0.56
1003	8	19	0.84
1004	11	22	1
1005	11	22	1
1006	11	22	1
1007	2	605	0.01
1008	2	9	0.44
1009	2	167	0.02
1010	5	12	0.83
1011	5	170	0.06
1012	0	0	1
1013	5	12	0.83
1014	6	14	0.86
1015	5	13	0.77
1016	5	170	0.06
1017	6	171	0.07
1018	7	17	0.82
1019	8	21	0.76
1020	4	14	0.57
1021	7	20	0.7
1022	3	16	0.38
1023	5	11	0.91
1024	6	12	1
1025	5	11	0.91
1026	5	11	0.91
1027	0	10	0
1028	7	15	0.93
1029	9	24	0.75
1030	7	15	0.93
1031	8	126	0.13
1032	6	14	0.86
1033	9	151	0.12
1034	8	16	1
1035	7	149	0.09
1036	10	24	0.83
1037	4	8	1
1038	4	8	1
1039	9	23	0.78
1040	4	8	1
1041	4	8	1
1042	4	8	1
1043	4	8	1
1044	8	135	0.12
1045	4	8	1
1046	4	131	0.06
1047	4	131	0.06
1048	2	8	0.5
1049	5	11	0.91
1050	20	41	0.98
1051	14	28	1
1052	7	28	0.5
1053	12	26	0.92
1054	13	396	0.07
1055	6	20	0.6
1056	13	27	0.96
1057	8	22	0.73
1058	11	26	0.85
1059	3	18	0.33
1060	12	32	0.75
1061	6	14	0.86
1062	20	623	0.06
1063	4	12	0.67
1064	19	402	0.09
1065	12	154	0.16
1066	7	15	0.93
1067	8	391	0.04
1068	6	148	0.08
1069	8	17	0.94
1070	10	20	1
1071	4	9	0.89
1072	2	12	0.33
1073	4	9	0.89
1074	2	7	0.57
1075	14	28	1
1076	12	26	0.92
1077	14	28	1
1078	10	24	0.83
1079	13	27	0.96
1080	14	28	1
1081	11	25	0.88
1082	14	28	1
1083	14	28	1
1084	12	154	0.16
1085	5	25	0.4
1086	5	10	1
1087	4	24	0.33
1088	5	10	1
1089	3	8	0.75
1090	4	172	0.05
1091	1	5	0.4
1092	2	6	0.67
1093	8	17	0.94
1094	8	16	1
1095	9	612	0.03
1096	7	15	0.93
1097	7	123	0.11
1098	9	392	0.05
1099	8	150	0.11
1100	8	16	1
1101	8	124	0.13
1102	8	391	0.04
1103	8	150	0.11
1104	5	10	1
1105	5	10	1
1106	5	10	1
1107	4	9	0.89
1108	4	9	0.89
1109	15	618	0.05
1110	6	17	0.71
1111	10	393	0.05
1112	11	22	1
1113	11	394	0.06
1114	3	19	0.32
1115	1	2	1
1116	1	2	1
1117	0	0	1
1118	6	13	0.92
1119	24	54	0.89
1120	4	34	0.24
1121	6	171	0.07
1122	17	182	0.19
1123	8	100	0.16
1124	10	393	0.05
1125	9	25	0.72
1126	8	24	0.67
1127	19	622	0.06
1128	18	401	0.09
1129	19	137	0.28
1130	11	28	0.79
1131	16	33	0.97
1132	16	33	0.97
1133	15	32	0.94
1134	8	16	1
1135	8	16	1
1136	8	16	1
1137	7	15	0.93
1138	8	16	1
1139	8	16	1
1140	8	391	0.04
1141	8	36	0.44
1142	14	31	0.9
1143	10	27	0.74
1144	12	128	0.19
1145	14	156	0.18
1146	8	146	0.11
1147	9	612	0.03
1148	3	7	0.86
1149	8	150	0.11
1150	3	7	0.86
1151	3	7	0.86
1152	3	145	0.04
1153	4	8	1
1154	7	17	0.82
1155	4	8	1
1156	4	8	1
1157	6	16	0.75
1158	4	8	1
1159	4	14	0.57
1160	4	8	1
1161	4	131	0.06
1162	4	8	1
1163	6	133	0.09
1164	4	131	0.06
1165	3	21	0.29
1166	6	186	0.06
1167	7	610	0.02
1168	6	28	0.43
1169	6	20	0.6
1170	6	20	0.6
1171	14	28	1
1172	7	21	0.67
1173	2	4	1
1174	8	17	0.94
1175	2	385	0.01
1176	2	11	0.36
1177	9	18	1
1178	11	46	0.48
1179	8	25	0.64
1180	8	28	0.57
1181	9	26	0.69
1182	9	29	0.62
1183	17	37	0.92
1184	7	14	1
1185	6	16	0.75
1186	7	172	0.08
1187	7	610	0.02
1188	3	13	0.46
1189	6	16	0.75
1190	9	19	0.95
1191	32	200	0.32
1192	6	21	0.57
1193	7	15	0.93
1194	14	29	0.97
1195	8	16	1
1196	10	25	0.8
1197	6	14	0.86
1198	33	175	0.38
1199	4	12	0.67
1200	6	148	0.08
1201	7	149	0.09
1202	6	17	0.71
1203	7	16	0.88
1204	10	613	0.03
1205	11	394	0.06
1206	4	13	0.62
1207	6	148	0.08
1208	9	18	1
1209	7	16	0.88
1210	7	149	0.09
1211	4	8	1
1212	4	8	1
1213	0	0	1
1214	5	173	0.06
1215	5	388	0.03
1216	9	177	0.1
1217	13	396	0.07
1218	6	24	0.5
1219	3	8	0.75
1220	16	399	0.08
1221	4	9	0.89
1222	4	9	0.89
1223	6	13	0.92
1224	8	17	0.94
1225	6	144	0.08
1226	6	15	0.8
1227	6	148	0.08
1228	8	17	0.94
1229	9	18	1
1230	8	150	0.11
1231	1	604	0
1232	1	9	0.22
1233	14	34	0.82
1234	13	30	0.87
1235	13	33	0.79
1236	12	29	0.83
1237	11	28	0.79
1238	12	139	0.17
1239	15	32	0.94
1240	11	138	0.16
1241	8	18	0.89
1242	5	11	0.91
1243	9	19	0.95
1244	5	11	0.91
1245	8	391	0.04
1246	4	10	0.8
1247	8	150	0.11
1248	6	12	1
1249	5	147	0.07
1250	8	16	1
1251	2	4	1
1252	4	12	0.67
1253	2	4	1
1254	2	4	1
1255	18	54	0.67
1256	4	387	0.02
1257	2	15	0.27
1258	11	24	0.92
1259	2	20	0.2
1260	2	605	0.01
1261	2	167	0.02
1262	13	616	0.04
1263	10	175	0.11
1264	2	4	1
1265	2	167	0.02
1266	2	40	0.1
1267	9	47	0.38
1268	7	16	0.88
1269	14	132	0.21
1270	6	18	0.67
1271	11	23	0.96
1272	8	126	0.13
1273	5	17	0.59
1274	11	23	0.96
1275	30	62	0.97
1276	2	4	1
1277	2	4	1
1278	12	177	0.14
1279	2	167	0.02
1280	5	22	0.45
1281	9	21	0.86
1282	5	25	0.4
1283	5	17	0.59
1284	5	25	0.4
1285	6	13	0.92
1286	5	11	0.91
1287	7	14	1
1288	6	148	0.08
1289	4	10	0.8
1290	5	11	0.91
1291	9	45	0.4
1292	12	34	0.71
1293	7	187	0.07
1294	9	177	0.1
1295	18	401	0.09
1296	47	215	0.44
1297	10	32	0.62
1298	10	32	0.62
1299	15	398	0.08
1300	5	15	0.67
1301	3	7	0.86
1302	8	18	0.89
1303	4	8	1
1304	5	123	0.08
1305	3	7	0.86
1306	3	7	0.86
1307	4	8	1
1308	4	8	1
1309	30	73	0.82
1310	4	184	0.04
1311	4	8	1
1312	4	47	0.17
1313	4	131	0.06
1314	4	8	1
1315	20	63	0.63
1316	4	47	0.17
1317	4	131	0.06
1318	19	146	0.26
1319	26	629	0.08
1320	2	4	1
1321	8	173	0.09
1322	2	4	1
1323	2	167	0.02
1324	3	6	1
1325	9	174	0.1
1326	3	168	0.04
1327	3	11	0.55
1328	3	9	0.67
1329	5	11	0.91
1330	2	17	0.24
1331	2	605	0.01
1332	2	167	0.02
1333	14	617	0.05
1334	9	174	0.1
1335	12	26	0.92
1336	15	32	0.94
1337	11	25	0.88
1338	10	27	0.74
1339	14	617	0.05
